Producteur,AssemblageCepage,Millesime,Region,Pays,Contenance,ContenanceUnit,DegreeAlcool,appellation,CommBouche,CommOeil,CommNez,CommVin,Temperature,BestBefore,BestAfter,Prix,PrixDevise,DateCrawl,Couleur,UrlImage,UrlPageVin,UrlSiteSource,NomVin
La Cave d'Augustin Florent ,,2016,Bordeaux,France,75,cl,12,Bordeaux,Une belle robe jaune pâle brillante. ,"En bouche, un vin qui présente une belle densité, et une belle vivacité. Une belle fraîcheur aromatique.",Au nez on retrouve des notes d'agrumes et florales.,La Cave d'Augustin Florent élabore a partir de parcelles sélectionnées des vins blancs de Bordeaux fruités et plein de vivacité.  Issu de cépage typique de l'appellation de Bordeaux. ,10,,,3.35,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516280025/gpwhxmnofpteeqpnrnmx.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-blanc16,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Bordeaux"" Blanc 2016"
La Cave d'Augustin Florent,,2016,Val de Loire,France,75,cl,12,Rosé de Loire,La robe est d'un rose pâle aux reflets orangés.,"En bouche, le vin est léger, souple et fruité.",Le nez révèle des arômes de petits fruits rouges comme la fraise ou la groseille.,"Des vins de qualité : La cave d'Augustin Florent signe ses vins et engage son nom sur cette offre. Un cahier des charges est signé pour chaque référence ; les vins sont dégustés par nos experts et contrôlés par nos laboratoires internes ou externes.
",9,,,3.35,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516279981/hnvgz3nhfe07yiyjujuq.jpg",https://grandsvins.carrefour.fr/product/augustin-florent-rose-de-loire-2016,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Rosé de Loire"" 2016"
La Cave d'Augustin Florent ,,2015,Sud-Ouest,France ,75,cl,13,Cahors,Une belle robe rubis brillante.,"En bouche, on retrouve un vin ample et franc. ",Un nez puissant sur les fruits rouges qui se termine par des notes épicées. ,Un vin de Cahors issu des cépage typique de l'appellation ! La Cave d'Augustin Florent élabore des vins de Cahors de caractère. ,17,,,3.4,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516266835/yi4a9ki3tuysduatdxd9.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-cahors-rouge-2015,https://grandsvins.carrefour.fr,"La cave d'Augustin Florent ""Cahors"" Rouge 2015"
La Cave d'Augustin Florent ,,2016,Sud-Ouest,France,75,cl,0,Cahors,,,,La Cave d'augustin Florent élabore un vin typique du Sud ouest de la France en appellation Cahors. ,15,,,3.4,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527254647/numtrbimbipi6wuspbpq.jpg",https://grandsvins.carrefour.fr/product/le-cave-d-augustin-florent-cahors-2016,https://grandsvins.carrefour.fr,La Cave d'Augustin Florent Cahors 2016
Producta vignobles ,,2016,Sud-Ouest,France,75,cl,11.5,Côtes de Bergerac ,Une robe jaune pâle cristallin.,"En bouche, on retrouve les jolis du nez ainsi qu'une belle fraîcheur. ",Au nez des arômes d'agrumes et de fleurs d'acacia.,Cyrano de Bergerac est un joli vin moelleux élaboré dans le Sud Ouest dans la région de Bergerac. Un vin doux et fruité. ,0,,,3.4,€,12/10/2018 00:00,Moelleux ,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516377374/hkcxsaitsnsplifghysr.jpg",https://grandsvins.carrefour.fr/product/panache-de-cyrano-16,https://grandsvins.carrefour.fr,Panache de Cyrano 2016
La Cave d'Augustin Florent,Sylvaner,2017,Alsace,France,75,cl,12,Alsace,Une jolie couleur or pâle.,"En bouche, un vin qui présente un bel équilibre et une jolie fraîcheur. ",Au nez des arômes de fruits frais.,"La Cave d'Augustin Florent élabore ce vin d'Alsace mono-cépage à partir de Sylvaner. Ce cépage très répandu en Alsace serait d'origine autrichienne mais pourtant certains considère la Transylvanie comme sa patrie d'origine au regard de son étymologie. 
",9.5,,,3.5,€,12/10/2018 00:00,Blanc,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1533901633/hd3hmpks7n5iukyr1zav.jpg",https://grandsvins.carrefour.fr/product/la-cave-d-augustin-florent-sylvaner-blanc-2017,https://grandsvins.carrefour.fr,"La Cave d'Augustin Florent ""Sylvaner"" Blanc 2017"
,Grenache,2017,Vallée du Rhône,France,75,cl,0,Lubéron,Le robe est d'une couleur pomelo aux reflets violins.,"En bouche, le vin est franc et croquant et s'exprime sur une palette aromatique fruitée très gourmande.","Le nez dévoile des arômes minéraux, relevés par des notes de sureau et de poire.",Le Pont de la Coquille est élaboré en appellation Lubéron.,9,,,3.5,€,12/10/2018 00:00,Rosé,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1524836367/plugappp74h3zhunex7o.jpg",https://grandsvins.carrefour.fr/product/aigebrun-pont-de-la-coquille-rose-2017,https://grandsvins.carrefour.fr,"L'Aiguebrun ""Le Pont de la Coquille"" Rosé 2017"
Union des Vignerons de Côtes du Rhône ,"Grenache, Syrah",2016,Vallée du Rhône,France,75,cl,13.5,Côtes du Rhône,La robe est d'un rouge intense et brillant.,"En bouche, le vin est charpenté et soyeux.",Le nez dévoile des arômes de fruits noirs comme le cassis et la cerise noire.,L'Union des Vignerons de Côtes du Rhône produit des vins dans toute la Vallée du Rhône. Elle est le fruit de l'union de 11 caves coopératives.,17,,,3.5,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1527251087/opanvwiss3ktgdre4qty.jpg",https://grandsvins.carrefour.fr/product/grand-millesime-rouge-2016,https://grandsvins.carrefour.fr,Grand Millésime Rouge 2016
Vignobles Borie,"Cabernet Sauvignon, Merlot",2015,Sud-Ouest,France,75,cl,13.5,Bergerac,Une robe rubis.,"En bouche, une attaque souple, une bouche ample et soutenue. ",Un nez intense marqué par des notes de fruits rouges et de pruneaux.,"Le label &quot;Reflets de France&quot; créé en 1996 souhaite mettre en avant un art de vivre à la française. Reflets de France attache une importance considérable à sélectionner rigoureusement des produits provenant de producteurs locaux et d’entreprises familiales. Pour cela, Joël Robuchon, chef le plus étoilé du monde et grand connaisseur de la gastronomie française, en est l'ambassadeur. Outre le fait d'associer son nom à cette marque, Joël Robuchon goûte et approuve chacun d'entre eux. Afin de garantir leur qualité, les produits Reflets de France doivent suivre un cahier des charges strict. Ainsi, un grand nombre de personnes peuvent découvrir toutes les richesses emblématiques du patrimoine culinaire français.
",16,,,3.5,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1505934959/shxtyjokiuphsd5nxbew.jpg",https://grandsvins.carrefour.fr/product/chateau-la-foret-2015,https://grandsvins.carrefour.fr,Château La Forêt 2015
,"Cabernet Sauvignon, Carmenere",2017,Vins du Monde,France,75,cl,12.5,Chili - Valle Central,La robe est d'un rouge rubis aux reflets violacés.,"En bouche, le vin est rond et très aromatique avec une dominante de fruits noirs. Les tanins sont soyeux.","Le nez dévoile des arômes de petis fruits rouges comme le cassis, réhaussés par des notes d'épices.",,17,,,3.5,€,12/10/2018 00:00,Rouge,"https://res.cloudinary.com/elixup/image/upload/c_pad,h_600,w_600/v1516628071/nkvobm32pjjsronsmtac.jpg",https://grandsvins.carrefour.fr/product/el-emperador-17,https://grandsvins.carrefour.fr,El Emperador 2017
